Classic Breakbeats,,,,,,,,,,,,,,,,,,Classic Breakbeats - multi-part,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billie Jean,,,,,,,,,,,,,,,,,,Take Me To The Mardi Gras part 1,,,,,,,,,,,,,,,,
,1,e,+,a,2,e,+,a,3,e,+,a,4,e,+,a,,,1,e,+,a,2,e,+,a,3,e,+,a,4,e,+,a
kick,,,,,,,,,,,,,,,,,,kick,,,,,,,,,,,,,,,,
snare,,,,,,,,,,,,,,,,,,snare,,,,,,,,,,,,,,,,
closed hh,,,,,,,,,,,,,,,,,,closed hh,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,open hh,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,hi bell,,,,,,,,,,,,,,,,
The Funky Drummer,,,,,,,,,,,,,,,,,,lo bell,,,,,,,,,,,,,,,,
,1,e,+,a,2,e,+,a,3,e,+,a,4,e,+,a,,,,,,,,,,,,,,,,,,
kick,,,,,,,,,,,,,,,,,,Take Me To The Mardi Gras part 2,,,,,,,,,,,,,,,,
snare,,,,,,,,,,,,,,,,,,,1,e,+,a,2,e,+,a,3,e,+,a,4,e,+,a
closed hh,,,,,,,,,,,,,,,,,,kick,,,,,,,,,,,,,,,,
open hh,,,,,,,,,,,,,,,,,,snare,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,closed hh,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,open hh,,,,,,,,,,,,,,,,
Impeach The President,,,,,,,,,,,,,,,,,,hi bell,,,,,,,,,,,,,,,,
,1,e,+,a,2,e,+,a,3,e,+,a,4,e,+,a,,lo bell,,,,,,,,,,,,,,,,
kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
closed hh,,,,,,,,,,,,,,,,,,Synthetic Substitution part 1,,,,,,,,,,,,,,,,
open hh,,,,,,,,,,,,,,,,,,,1,e,+,a,2,e,+,a,3,e,+,a,4,e,+,a
,,,,,,,,,,,,,,,,,,kick,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,snare,,,,,,,,,,,,,,,,
When The Levee Breaks,,,,,,,,,,,,,,,,,,closed hh,,,,,,,,,,,,,,,,
,1,e,+,a,2,e,+,a,3,e,+,a,4,e,+,a,,open hh,,,,,,,,,,,,,,,,
kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snare,,,,,,,,,,,,,,,,,,Synthetic Substitution part 2,,,,,,,,,,,,,,,,
closed hh,,,,,,,,,,,,,,,,,,,1,e,+,a,2,e,+,a,3,e,+,a,4,e,+,a
,,,,,,,,,,,,,,,,,,kick,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,snare,,,,,,,,,,,,,,,,
Walk This Way,,,,,,,,,,,,,,,,,,closed hh,,,,,,,,,,,,,,,,
,1,e,+,a,2,e,+,a,3,e,+,a,4,e,+,a,,open hh,,,,,,,,,,,,,,,,
kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
closed hh,,,,,,,,,,,,,,,,,,Amen Brother part 1,,,,,,,,,,,,,,,,
open hh,,,,,,,,,,,,,,,,,,,1,e,+,a,2,e,+,a,3,e,+,a,4,e,+,a
,,,,,,,,,,,,,,,,,,kick,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,snare,,,,,,,,,,,,,,,,
It's a New Day,,,,,,,,,,,,,,,,,,ride,,,,,,,,,,,,,,,,
,1,e,+,a,2,e,+,a,3,e,+,a,4,e,+,a,,open hh,,,,,,,,,,,,,,,,
kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snare,,,,,,,,,,,,,,,,,,Amen Brother part 2,,,,,,,,,,,,,,,,
closed hh,,,,,,,,,,,,,,,,,,,1,e,+,a,2,e,+,a,3,e,+,a,4,e,+,a
,,,,,,,,,,,,,,,,,,kick,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,snare,,,,,,,,,,,,,,,,
Papa Was Too,,,,,,,,,,,,,,,,,,ride,,,,,,,,,,,,,,,,
,1,e,+,a,2,e,+,a,3,e,+,a,4,e,+,a,,open hh,,,,,,,,,,,,,,,,
kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snare,,,,,,,,,,,,,,,,,,Amen Brother part 3,,,,,,,,,,,,,,,,
closed hh,,,,,,,,,,,,,,,,,,,1,e,+,a,2,e,+,a,3,e,+,a,4,e,+,a
tambourine,,,,,,,,,,,,,,,,,,kick,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,snare,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ride,,,,,,,,,,,,,,,,
The Big Beat,,,,,,,,,,,,,,,,,,open hh,,,,,,,,,,,,,,,,
,1,e,+,a,2,e,+,a,3,e,+,a,4,e,+,a,,,,,,,,,,,,,,,,,,
kick,,,,,,,,,,,,,,,,,,Amen Brother part 4,,,,,,,,,,,,,,,,
snare,,,,,,,,,,,,,,,,,,,1,e,+,a,2,e,+,a,3,e,+,a,4,e,+,a
clap,,,,,,,,,,,,,,,,,,kick,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,snare,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ride,,,,,,,,,,,,,,,,
Ashley's Roachclip,,,,,,,,,,,,,,,,,,open hh,,,,,,,,,,,,,,,,
,1,e,+,a,2,e,+,a,3,e,+,a,4,e,+,a,,,,,,,,,,,,,,,,,,
kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snare,,,,,,,,,,,,,,,,,,Apache part 1,,,,,,,,,,,,,,,,
closed hh,,,,,,,,,,,,,,,,,,,1,e,+,a,2,e,+,a,3,e,+,a,4,e,+,a
